,Unnamed: 0,entry_date,open,high,low,entry_price,exit_date,exit_price,close,leverage,trade_type
0,0,1734350400,103758.0,106499.99,103333.0,104763.98,1734480000,106133.74,104763.98,3,1
1,1,1734494400,104763.99,104763.99,103137.82,102817.82,1734537600,104428.54,102817.82,3,1
2,2,1734552000,102817.82,102997.77,100000.0,100679.86,1734609600,102450.0,100679.86,3,1
3,3,1734624000,100679.86,101200.0,96251.32,97461.86,1734638400,97199.72,97461.86,2,1
4,4,1734652800,97461.86,97814.09,96000.0,97832.53,1734667200,97106.02,97832.53,2,1
5,5,1734681600,97832.52,97864.91,92612.1,97116.0,1734710400,96991.63,97116.0,2,2
6,6,1734724800,97116.0,97816.44,95393.84,98300.0,1735041600,94398.6,98300.0,2,2
7,7,1736164800,99259.99,102468.92,98711.94,100830.86,1736236800,101664.81,100830.86,3,1
8,8,1736251200,100830.86,100960.06,97153.5,94243.89,1736352000,95493.77,94243.89,2,1
9,9,1736366400,94243.89,95310.94,93600.0,94027.9,1736380800,95060.61,94027.9,2,1
10,10,1736395200,94027.91,94618.63,93186.38,93465.23,1736409600,93221.59,93465.23,3,1
11,11,1736424000,93465.23,94588.23,91800.0,91909.59,1736438400,94244.02,91909.59,3,1
12,12,1736452800,91909.59,92720.67,91203.67,90851.22,1736755200,93590.24,90851.22,3,1
13,13,1740427200,93943.52,94571.43,91349.26,85330.84,1740787200,84349.95,85330.84,3,2
14,14,1743508800,83930.31,85499.55,82544.0,84426.33,1743566400,84550.0,84426.33,2,1
15,15,1743580800,84426.32,85450.0,84262.73,82516.29,1743624000,86900.01,82516.29,2,1
16,16,1743638400,82516.28,83998.02,82175.98,82039.31,1743681600,83096.01,82039.31,2,1
17,17,1743696000,82039.32,82448.21,81540.0,82548.36,1743940800,82855.99,82548.36,2,1
